,emotion,global nervous system,immunologic,motor,misclassified,gastrointestinal,song references,cardiovascular,genitourinary,oncologic,written media references,esp,metabolic,hematologic,musculoskeletal,place references,property of toxin,somatic sensation,neurologic disorder,perception,endocrine,sense of self,use of substance,sexual activity,uninterpretable,respiratory,activity references,renal,chemical process,infectious,cognitive ability,behavior,integumentary
desyrel,8,6,0,0,2,3,0,2,2,0,0,1,0,0,0,0,5,0,1,1,0,1,2,1,6,1,0,0,3,1,3,0,0
flexeril,6,5,0,0,2,2,0,0,1,0,0,1,0,0,0,0,6,1,2,2,0,0,4,1,5,0,0,0,0,0,1,2,0
tansy,6,2,0,0,3,5,1,0,0,1,0,2,0,0,0,0,7,0,2,3,0,1,3,1,9,0,0,0,0,1,2,6,0
dramamine,29,16,0,2,10,10,0,5,2,1,1,8,1,0,1,2,16,2,8,6,0,7,7,7,16,2,0,0,4,2,8,19,2
lortab,8,3,0,0,2,5,0,0,0,0,0,2,0,0,0,0,6,0,1,1,0,1,2,0,3,0,0,0,0,0,2,3,0
glue,34,10,0,0,9,5,0,3,1,2,2,10,0,0,0,0,9,0,5,3,0,3,5,2,17,2,0,0,3,0,8,19,2
speed,67,26,3,6,26,13,1,13,8,1,8,17,2,2,1,4,31,1,27,8,1,10,11,11,41,11,0,0,10,10,10,37,5
ketamine,55,24,3,5,16,11,1,17,6,1,1,14,1,2,2,3,27,3,17,5,0,9,9,9,30,9,0,0,9,5,11,37,4
k2,9,2,0,0,5,1,0,2,1,0,0,2,0,0,0,0,1,1,1,2,0,2,3,1,9,0,0,0,2,0,3,3,1
rose,53,20,2,3,16,7,0,7,4,1,2,13,1,1,0,2,14,1,15,5,1,8,8,11,25,5,0,0,5,8,11,27,4
fentanyl,28,10,1,1,8,8,0,3,3,3,2,2,1,1,2,0,15,2,10,4,0,2,6,2,16,1,0,0,3,5,6,12,1
vyvanse,4,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0
guaifenesin,13,5,0,1,4,6,0,3,1,1,1,0,0,0,0,1,8,0,2,2,0,1,5,1,11,0,0,0,0,0,4,4,0
butylone,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,3,0,0,0,0,1,2,1,0
crack,61,24,4,5,23,10,1,7,4,1,3,16,2,2,0,5,25,0,20,7,0,8,8,13,37,7,3,0,8,10,8,36,5
toluene,10,7,0,0,4,5,0,3,0,1,0,2,0,0,0,0,6,0,0,2,0,2,2,0,12,0,0,0,1,0,4,7,2
trihexyphenidyl,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ambien,17,12,0,0,3,5,0,3,2,2,1,2,0,0,0,2,15,0,7,3,0,0,7,2,11,0,1,0,2,0,4,7,1
psilocin,38,22,0,1,8,7,1,8,2,2,2,14,1,0,0,3,21,1,9,6,1,7,7,3,19,4,0,0,7,5,9,18,4
adrafinil,10,10,1,1,2,3,0,3,2,0,1,1,0,0,0,0,5,0,2,2,0,1,7,1,10,1,0,0,2,1,3,3,0
atropine,28,15,2,1,7,8,0,7,2,2,1,5,1,0,0,0,18,1,11,4,2,3,7,5,13,1,0,0,2,5,4,11,2
elavil,8,2,0,0,0,3,0,2,2,1,0,0,0,0,0,0,1,0,1,1,0,0,3,0,2,0,0,0,1,0,1,3,0
ziprasidone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
amt,42,16,0,4,7,9,0,5,2,1,1,8,1,0,0,0,16,1,9,7,0,4,8,3,17,2,1,0,3,3,8,21,1
yopo,29,13,1,1,8,5,0,6,1,1,0,3,0,0,0,0,16,0,6,7,0,3,6,1,10,2,0,0,4,4,4,7,2
benadryl,27,18,0,0,9,5,0,8,1,0,0,5,1,0,0,1,14,0,8,5,0,2,8,2,12,0,0,0,2,0,7,12,1
methampetamine,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oxygen,45,21,3,5,15,9,0,14,3,2,4,11,3,1,1,1,17,3,17,4,0,5,7,6,31,9,1,0,9,6,11,21,5
55,32,11,0,1,6,5,0,4,2,2,1,9,0,1,0,1,12,1,4,4,0,1,6,0,14,2,0,0,6,1,9,13,3
zoloft,21,15,0,2,4,5,0,7,2,1,1,5,1,0,0,1,10,0,10,3,0,2,5,4,14,1,0,0,4,1,5,8,0
glucosamine,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0
panax,7,5,1,1,2,3,0,3,1,0,0,5,0,0,0,1,4,1,4,3,1,3,4,2,3,1,0,0,2,0,3,1,0
subutex,13,9,0,0,4,6,0,1,2,1,0,0,2,0,0,0,10,1,4,3,0,2,4,1,8,1,0,0,4,1,6,4,2
klonopin,25,13,0,1,8,5,0,1,2,0,1,3,0,0,0,0,13,1,11,4,0,3,5,2,11,1,0,0,3,1,8,10,1
nucynta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soma,27,10,2,2,6,4,0,3,2,1,1,8,1,0,0,1,16,0,9,4,0,2,5,0,12,3,1,0,3,2,7,11,0
freebase,38,16,1,2,9,7,0,8,3,2,3,8,2,0,0,2,20,1,12,6,0,3,7,7,23,3,1,0,5,3,8,18,2
phenylalanine,8,9,0,0,1,2,0,1,1,0,0,1,0,0,0,0,3,0,5,2,0,2,4,0,7,0,0,0,1,0,1,3,0
paxil,14,11,0,2,4,4,0,6,3,0,0,3,1,0,0,0,9,0,10,2,0,2,4,3,11,1,0,0,4,1,6,5,0
biloba,15,5,0,0,4,3,0,6,1,0,0,1,0,0,0,0,7,0,5,2,0,2,3,1,9,1,0,0,0,0,3,4,1
ibuprofen,14,10,0,2,4,5,1,3,2,1,0,2,1,0,1,1,5,0,5,3,0,2,6,2,14,1,0,0,1,4,3,6,2
glaucine,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0
yerba,33,18,2,1,10,6,1,7,3,1,1,7,1,0,1,2,15,1,9,5,1,3,6,5,16,3,0,0,4,4,5,15,1
flunitrazepam,4,6,0,0,4,1,0,10,0,0,0,0,0,1,1,0,3,1,4,3,0,2,2,1,7,1,0,0,1,1,3,1,2
cathinone,9,5,0,1,2,2,0,1,2,0,0,2,0,0,0,0,5,1,4,2,0,2,5,2,8,0,0,0,2,0,2,1,0
strattera,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0
leaf,77,32,4,7,31,17,1,13,10,2,9,24,3,2,2,3,43,3,22,7,3,7,12,15,38,13,3,0,14,15,14,48,8
gvl,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
ecstasy,60,23,3,4,26,13,1,9,4,2,3,15,3,2,0,5,26,1,21,7,0,9,8,11,35,6,0,0,6,8,11,34,2
cannabis,66,27,2,4,20,13,0,15,6,3,4,18,2,0,2,6,33,2,25,7,2,7,9,11,36,13,1,0,10,11,15,45,6
prom,10,1,0,0,3,1,0,2,0,0,0,1,1,0,0,0,2,0,2,2,0,0,3,0,6,0,0,0,0,0,0,3,0
passion,44,17,0,2,12,9,1,5,2,1,1,13,1,1,0,2,15,1,11,5,0,5,9,4,23,2,0,0,6,0,9,22,2
atenolol,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,2,0,0
maoi,52,24,3,5,15,10,0,10,5,2,1,11,1,0,0,1,25,1,15,6,1,5,8,8,22,6,1,0,10,7,11,28,3
triprolidine,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methamphetamine,49,22,1,7,15,12,1,16,4,3,0,9,4,2,1,1,25,3,18,5,0,5,9,6,25,2,1,0,8,7,10,23,3
desoxyn,10,3,0,1,1,2,0,0,1,0,0,1,1,0,0,0,2,0,3,1,0,2,3,1,10,1,0,0,1,1,1,3,0
posh,13,5,0,1,8,2,0,0,2,1,1,2,0,0,0,1,1,0,6,2,0,5,1,5,13,1,0,0,2,2,4,9,0
rum,24,14,1,2,5,8,0,6,1,1,1,6,0,0,0,1,17,0,11,5,0,3,6,2,12,0,0,0,1,2,5,13,2
rue,50,23,3,3,12,10,0,10,3,1,2,14,2,0,0,2,22,1,12,6,0,6,8,5,25,3,0,0,8,8,10,25,4
ayahausca,13,4,0,2,4,4,0,3,2,0,1,6,1,0,0,0,8,0,5,5,0,2,3,2,11,0,0,0,3,2,3,8,0
chanting,20,9,0,1,8,2,0,3,3,0,1,10,1,0,0,0,7,0,7,3,0,6,3,5,14,2,0,0,2,1,6,18,0
mandrake,22,15,2,2,6,6,0,4,2,1,1,4,1,0,0,1,13,1,10,4,1,2,6,4,9,0,0,0,1,6,4,12,3
valium,36,24,0,4,13,11,2,15,2,1,1,8,1,1,1,3,21,1,18,5,0,6,8,5,22,3,0,0,6,7,9,20,4
zopiclone,12,7,0,1,3,4,0,2,1,0,0,0,1,0,0,0,4,0,6,3,0,0,3,2,8,0,0,0,0,0,1,2,0
nelumbo,25,8,0,0,2,2,0,3,0,1,0,3,0,0,0,1,9,1,0,2,0,3,6,0,10,0,0,0,3,1,3,9,1
inderal,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
obe,16,5,0,0,6,1,0,0,1,1,1,7,0,0,0,0,7,0,7,2,0,2,3,0,13,1,0,0,1,0,3,5,1
nde,18,6,0,0,3,1,0,1,1,1,1,4,0,0,0,0,6,0,4,2,0,1,2,2,12,0,0,0,1,0,6,4,1
glade,7,3,0,0,2,1,0,1,0,0,0,2,0,0,0,0,2,0,1,2,0,0,0,0,5,0,0,0,1,0,2,2,0
diazapam,13,5,0,0,2,5,0,0,1,0,0,0,0,0,0,0,5,1,2,2,0,1,3,0,8,0,0,0,2,0,3,3,1
catnip,29,17,0,0,8,6,0,4,1,1,1,4,1,0,0,1,15,1,8,4,0,2,8,3,14,1,0,0,3,2,5,9,2
scopolamine,22,17,2,1,5,7,0,5,1,1,2,8,1,0,0,0,18,1,9,4,1,2,7,2,14,0,0,0,5,3,6,10,2
robaxin,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0
duloxetine,7,7,0,0,2,4,0,2,2,0,0,0,0,0,0,0,5,0,1,0,0,1,2,1,5,1,0,0,2,1,3,2,0
propranolol,15,3,0,2,4,3,0,4,0,0,0,2,0,0,0,0,2,0,5,2,0,0,1,0,7,0,0,0,0,0,1,2,0
burning,57,26,6,3,21,12,1,20,7,2,4,12,1,1,2,0,23,1,21,7,1,9,9,10,33,6,1,0,6,9,9,37,6
synephrine,6,5,0,0,5,3,0,2,2,1,0,0,1,0,0,0,9,1,3,2,1,1,3,4,5,0,0,0,2,1,1,2,0
cyclobenzaprine,6,7,0,0,2,2,0,0,1,0,0,0,0,0,0,0,6,0,2,1,0,0,4,1,4,0,0,0,0,0,0,2,0
guard,44,17,0,1,16,7,0,4,2,1,1,12,1,1,0,1,14,0,9,5,0,7,6,9,28,5,1,0,4,2,11,24,5
propylhexedrine,7,5,0,0,2,2,0,13,2,0,0,0,0,1,1,0,0,1,3,1,0,1,2,2,8,1,0,0,1,1,3,2,2
divinorum,50,18,3,2,15,9,0,8,2,1,3,13,1,0,0,0,18,1,13,6,0,5,7,3,22,3,0,0,4,5,8,23,4
oolong,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,2,0,1,0,0
dreaming,59,22,2,2,15,8,1,10,3,3,2,17,1,0,0,2,26,1,12,7,0,6,9,9,25,6,1,0,9,7,11,28,4
dyphenhydramine,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kawa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
prozac,34,15,0,3,7,5,0,6,2,2,1,8,1,0,0,1,15,0,10,3,0,5,7,4,15,2,0,0,6,4,8,14,0
dizocilpine,1,2,0,0,2,0,0,0,1,0,0,0,1,0,0,1,2,0,2,1,0,0,1,0,3,0,0,0,2,0,1,0,0
provigil,9,10,0,1,3,3,0,2,2,1,0,1,0,0,0,1,6,0,2,1,0,2,4,1,7,1,0,0,3,1,4,1,0
vicks,10,11,0,2,4,6,0,6,3,0,1,2,0,0,0,0,8,2,8,2,0,1,6,1,10,0,0,0,1,0,4,7,0
zolpidem,14,9,0,0,3,4,0,0,1,0,0,1,0,0,0,2,9,0,6,3,0,0,6,1,7,0,0,0,0,0,2,5,1
tyrosine,18,11,0,0,6,3,0,3,2,2,0,2,2,0,0,0,11,1,9,2,0,3,5,1,12,3,0,0,3,1,5,6,0
bufotenine,22,16,2,2,7,5,0,7,2,2,1,3,1,0,0,1,15,1,11,4,2,2,6,5,14,0,0,0,4,5,5,5,2
torch,45,18,1,1,15,8,0,6,1,1,3,10,1,0,0,1,15,1,9,6,0,4,7,1,23,3,0,0,7,3,7,21,6
dextroamphetamine,10,7,0,1,2,3,0,1,1,1,0,3,0,0,0,0,6,0,5,2,0,1,4,2,8,0,0,0,1,2,3,3,0
cannibis,13,7,0,0,3,2,0,0,1,1,1,3,0,0,0,0,6,0,4,3,0,2,5,1,9,1,0,0,2,0,4,5,1
lorazepam,17,8,0,1,6,3,0,3,3,0,0,2,0,0,0,0,11,0,9,3,0,1,4,1,9,1,0,0,3,2,3,5,0
depakote,11,1,0,1,3,1,0,0,0,0,0,2,1,0,0,0,2,0,4,3,0,1,2,0,4,0,0,0,1,0,1,1,0
pentylone,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,1,1,0
aniracetam,11,6,0,0,2,2,0,1,0,0,1,2,0,0,0,1,6,0,1,2,0,1,4,0,9,2,0,0,0,0,3,3,0
ginkgo,9,4,0,0,3,3,0,5,1,0,0,1,0,0,0,0,3,0,10,3,0,1,4,1,8,2,0,0,0,0,3,3,0
mulberry,4,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,3,0,0,2,0,1,2,0,3,0,0,0,0,0,0,2,0
ferox,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0
valerian,28,12,0,2,4,3,1,5,2,2,0,5,0,0,0,1,14,0,8,4,0,4,9,4,13,2,0,0,6,1,5,11,2
ephedrine,34,18,3,2,9,11,0,9,3,1,1,5,2,1,0,2,15,2,12,6,0,6,8,6,15,4,0,0,5,8,8,15,3
tryptophan,21,16,0,2,6,5,0,8,2,2,1,3,2,1,0,3,15,1,10,3,0,3,8,2,13,2,0,0,6,0,5,4,1
shisha,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3,0,0,0,0,0,1,1,0
spice,39,20,4,3,12,10,0,8,3,2,1,13,1,1,1,2,22,0,15,7,1,5,9,5,21,5,0,0,5,9,7,20,5
mcpp,11,5,0,1,2,2,0,4,2,0,0,0,0,1,0,1,6,0,5,2,0,2,2,0,10,0,0,0,2,0,4,2,1
rush,70,27,3,4,21,12,0,11,3,1,5,18,1,2,1,3,28,1,20,6,1,9,9,13,36,9,2,0,9,10,11,39,5
glory,55,23,1,3,17,10,0,9,4,1,2,16,1,0,0,2,26,3,17,7,0,9,8,8,28,4,1,0,9,7,12,35,7
oxazepam,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,2,4,0,8,0,0,0,0,0,1,2,0
dom,21,11,0,0,5,2,0,4,0,2,1,3,1,0,0,1,11,1,6,4,0,4,4,1,12,0,0,0,2,1,5,8,0
percocet,22,6,0,0,4,4,0,0,1,2,0,3,0,0,1,0,11,2,5,5,0,2,3,0,15,0,0,0,2,1,3,12,0
calcium,29,15,2,3,7,11,0,14,2,1,1,4,2,1,2,1,17,2,13,5,1,2,6,4,22,5,0,0,6,6,7,17,5
phosphate,11,5,0,0,5,5,0,2,1,2,1,4,1,1,0,2,10,1,9,3,0,3,6,0,11,1,1,0,4,0,3,5,0
dmt,69,28,5,7,24,10,2,13,3,3,6,18,3,0,0,4,36,1,21,9,1,8,12,12,37,8,1,0,15,8,10,38,6
adderall,34,15,0,3,8,8,0,8,2,2,0,5,1,0,0,2,14,0,13,5,0,3,9,6,23,0,2,0,4,3,6,14,0
paroxetine,13,7,0,0,4,4,0,4,3,0,1,3,1,0,0,0,9,0,5,2,0,2,5,2,10,2,0,0,4,1,5,4,0
haloperidol,16,4,0,2,4,2,0,3,2,0,0,2,0,1,0,2,6,0,9,2,1,0,3,1,7,0,0,0,1,0,3,3,1
wormwood,31,13,0,3,5,8,0,7,2,1,2,5,0,0,0,0,14,1,10,5,0,3,8,4,17,3,0,0,4,8,7,14,3
peruvian,32,13,2,1,10,7,0,6,2,1,2,10,0,1,0,0,14,1,8,4,0,5,6,3,19,4,1,0,6,3,6,19,3
nuvigil,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0
prayer,45,11,3,1,17,5,0,5,3,1,1,14,1,0,0,1,12,0,13,5,0,8,6,6,24,3,0,0,5,7,8,26,2
seconal,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,2,1,0,0,0,0,1,0,0
melatonin,28,17,1,0,5,6,0,5,3,3,1,9,1,0,0,1,17,1,10,5,0,4,9,1,13,2,0,0,3,0,6,14,2
withdrawal,49,23,3,6,15,14,1,14,4,3,2,12,3,2,1,2,24,2,19,5,0,6,9,8,30,4,0,0,5,11,10,28,3
syrian,43,23,3,3,10,10,0,10,3,1,1,13,2,0,0,1,19,1,11,6,0,6,8,5,21,3,0,0,8,7,10,23,4
narcan,9,4,0,0,6,1,0,3,0,0,0,0,0,0,0,0,6,1,2,2,0,2,4,1,6,1,0,0,1,0,1,3,0
carisoprodol,5,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,4,0,1,3,0,0,1,0,3,0,0,0,0,0,0,1,0
lemon,47,19,0,1,10,11,0,10,3,1,1,11,1,0,1,2,20,1,13,5,0,6,9,4,23,3,0,0,6,7,7,23,5
mimohuasca,7,2,0,0,1,1,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,5,1,0,0,0,0,1,1,0
5,81,32,6,6,33,16,0,23,7,3,9,25,6,4,3,6,45,1,29,10,2,10,10,13,45,14,2,0,15,14,15,52,11
vicodin,27,11,0,0,5,5,0,5,2,2,0,6,1,0,1,1,15,1,9,5,0,2,8,1,19,1,0,0,2,4,5,12,1
acetaminophen,26,8,0,2,6,10,0,4,3,1,0,2,2,0,0,1,11,0,7,4,0,4,6,2,11,1,0,0,1,1,5,9,1
doxylamine,19,7,0,0,4,4,0,5,2,0,1,2,1,0,0,0,8,0,5,3,0,2,7,2,8,0,0,0,1,0,3,4,0
tma,8,5,0,0,3,2,0,2,1,3,0,3,1,0,0,0,9,1,4,3,0,3,5,2,7,0,0,0,2,2,4,5,0
baclofen,14,7,0,0,4,5,0,3,2,0,0,3,0,0,0,0,11,0,3,1,0,0,3,4,7,1,0,0,0,1,2,6,1
alprozolam,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
mimosahuasca,13,3,0,0,1,2,0,0,1,0,1,3,0,0,0,0,2,0,2,2,0,0,2,0,7,0,0,0,1,0,1,3,0
xanax,46,19,0,3,8,10,0,11,3,1,1,10,1,0,0,3,22,0,15,4,1,4,9,6,21,2,1,0,5,7,9,19,1
ointment,14,5,3,0,8,3,0,4,2,1,0,3,0,0,0,1,8,0,8,3,1,1,5,5,12,0,0,0,3,4,5,6,0
ativan,20,11,0,1,7,6,0,2,2,0,1,3,1,0,0,1,13,0,11,1,0,2,7,1,14,1,0,0,3,1,4,6,1
allylescaline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
bupronorphine,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
semilanceata,16,6,0,0,5,1,0,2,2,0,1,4,0,0,0,1,9,0,2,4,0,2,5,1,12,1,0,0,5,0,7,7,0
ibogaine,25,19,1,0,9,6,0,10,2,2,2,8,1,0,0,2,18,1,8,3,0,3,7,1,13,1,0,0,4,5,6,10,2
serzone,7,7,0,0,2,4,0,2,2,0,0,0,0,0,0,0,5,0,1,0,0,1,2,1,5,1,0,0,2,1,3,2,0
dihydrocodeine,12,4,0,0,3,3,0,2,2,0,0,1,0,0,0,0,6,1,3,2,0,0,3,0,7,0,0,0,2,0,2,3,0
diphenidine,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amphetamine,57,24,2,8,17,18,0,19,5,3,1,14,4,4,1,4,30,3,20,7,1,7,9,10,32,7,0,0,10,13,11,31,4
cpm,8,8,0,0,3,5,0,2,0,1,0,1,0,1,0,1,6,0,3,2,0,0,3,1,9,0,0,0,2,0,4,3,1
oxiracetam,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,5,0,0,0,0,1,3,0,0
pramiracetam,3,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2,0
guarana,21,17,2,1,6,5,0,5,2,1,1,2,0,0,0,1,16,0,8,3,0,1,6,2,12,0,0,0,1,3,3,8,2
coricidin,22,11,0,1,4,8,0,3,1,1,1,4,0,1,0,1,8,0,5,2,0,3,5,1,14,1,0,0,3,0,6,8,2
belladona,11,9,0,0,2,3,0,5,1,1,0,1,1,0,0,0,10,0,5,3,0,2,5,0,8,0,0,0,1,2,4,4,2
dexmethylphenidate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
xenon,3,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,1,2,0,0,1,0,2,0,0,0,0,0,1,1,0
